x,y,label
6993.5233333333335,4555.033333333334,fibroblast of cardiac tissue
6017.94375,1527.88125,fibroblast of cardiac tissue
8132.192771084337,7981.939759036145,fibroblast of cardiac tissue
4684.561128526646,1030.8401253918496,fibroblast of cardiac tissue
8225.755186721992,4150.2572614107885,cardiac muscle myoblast
5821.215962441314,2898.8826291079813,native cell
3795.701357466063,7271.190045248869,smooth muscle myoblast
7040.597855227882,3179.8016085790887,fibroblast of cardiac tissue
2630.4959349593496,3141.6544715447158,cardiac muscle myoblast
3550.008333333333,1595.4041666666667,cardiac muscle myoblast
4779.522727272727,4094.106060606061,cardiac muscle myoblast
2643.4315789473685,5128.331578947368,neuronal receptor cell
2025.710059171597,5575.414201183432,fibroblast of cardiac tissue
6077.539748953975,3677.673640167364,cardiac muscle myoblast
5337.582417582417,1141.8736263736264,fibroblast of cardiac tissue
7436.115942028986,2026.3188405797105,fibroblast of cardiac tissue
1833.535242290749,7681.440528634361,cardiac muscle myoblast
5570.384,2735.4506666666666,cardiac endothelial cell
2708.3545150501677,2332.795986622073,cardiac endothelial cell
3695.520202020202,8298.070707070707,fibroblast of cardiac tissue
2845.768907563025,6164.953781512605,cardiac muscle myoblast
8093.621428571429,2818.0214285714287,cardiac endothelial cell
4343.545454545455,7955.570247933884,cardiac muscle myoblast
7648.463963963964,4687.304054054054,fibroblast of cardiac tissue
8261.027932960895,3948.2513966480446,fibroblast of cardiac tissue
6521.652406417113,4598.235294117647,fibroblast of cardiac tissue
1432.7677725118483,4868.90047393365,fibroblast of cardiac tissue
4978.224576271186,4911.4449152542375,cardiac endothelial cell
4056.009685230024,4497.629539951574,cardiac muscle myoblast
1858.3162393162395,6633.589743589743,cardiac muscle myoblast
7162.7375,6194.103571428572,fibroblast of cardiac tissue
7970.204918032787,5692.131147540984,fibroblast of cardiac tissue
6683.988165680474,2474.485207100592,cardiac muscle myoblast
5512.822966507177,2487.7033492822966,cardiac muscle myoblast
5852.327586206897,1730.603448275862,fibroblast of cardiac tissue
6173.456913827656,2242.370741482966,fibroblast of cardiac tissue
3134.1724137931037,2606.344827586207,fibroblast of cardiac tissue
7696.620689655172,6753.931034482759,fibroblast of cardiac tissue
2584.5649717514125,3334.553672316384,cardiac muscle myoblast
3845.934782608696,5965.268115942029,fibroblast of cardiac tissue
1263.2868852459017,5616.827868852459,fibroblast of cardiac tissue
6369.344117647059,2892.3882352941177,fibroblast of cardiac tissue
7194.267605633803,7067.169014084507,fibroblast of cardiac tissue
7316.264305177112,8430.313351498638,fibroblast of cardiac tissue
1738.9568965517242,2878.2974137931037,fibroblast of cardiac tissue
6242.0300751879695,8264.541353383458,fibroblast of cardiac tissue
3547.474842767296,1842.937106918239,cardiac muscle myoblast
5713.909090909091,1585.7777777777778,fibroblast of cardiac tissue
7926.2723004694835,6058.389671361502,fibroblast of cardiac tissue
8319.058536585366,5104.639024390244,cardiac endothelial cell
8389.07722007722,3753.4362934362935,cardiac muscle myoblast
2289.912568306011,8082.743169398907,cardiac muscle myoblast
4256.693877551021,1144.139941690962,cardiac endothelial cell
5249.485815602837,3144.918439716312,fibroblast of cardiac tissue
3896.348703170029,2374.383285302594,cardiac muscle myoblast
3014.625,2203.1375,fibroblast of cardiac tissue
4446.191358024691,3661.5,fibroblast of cardiac tissue
5596.032863849765,2262.018779342723,cardiac muscle myoblast
4884.682608695653,1337.7347826086957,fibroblast of cardiac tissue
3342.734989648033,2628.426501035197,cardiac muscle myoblast
4110.349593495935,2002.791327913279,fibroblast of cardiac tissue
3961.1006289308175,1024.3522012578617,cardiac muscle myoblast
3129.4484536082477,5766.31443298969,fibroblast of cardiac tissue
8329.13524590164,3201.4180327868853,fibroblast of cardiac tissue
3530.809187279152,3747.706713780919,fibroblast of cardiac tissue
6140.170103092783,6805.603092783505,fibroblast of cardiac tissue
3005.7919463087246,1466.255033557047,cardiac muscle myoblast
2015.6639004149376,6721.96265560166,fibroblast of cardiac tissue
6547.821705426357,2559.5116279069766,cardiac muscle myoblast
3095.766169154229,6530.104477611941,cardiac endothelial cell
2240.620689655173,7078.256157635468,native cell
4095.506666666666,1458.8466666666666,cardiac endothelial cell
4804.55701754386,7343.736842105263,cardiac muscle myoblast
8394.814285714287,4172.15,cardiac endothelial cell
6806.826530612245,4464.306122448979,fibroblast of cardiac tissue
3423.9523809523807,1858.5986394557824,fibroblast of cardiac tissue
6421.437810945274,2530.8258706467664,cardiac endothelial cell
3778.35393258427,4788.230337078651,immature innate lymphoid cell
7515.28762541806,5815.7959866220735,fibroblast of cardiac tissue
2736.6332046332045,2466.100386100386,cardiac muscle myoblast
3760.746835443038,1989.6962025316457,cardiac muscle myoblast
4902.244186046512,1480.296511627907,fibroblast of cardiac tissue
3007.092511013216,6732.645374449339,cardiac muscle myoblast
5218.8490566037735,6812.86320754717,cardiac muscle myoblast
2760.074074074074,3930.4091710758375,fibroblast of cardiac tissue
4263.94623655914,3885.129032258064,fibroblast of cardiac tissue
7830.070866141732,7442.456692913386,fibroblast of cardiac tissue
4787.878947368421,1355.0105263157895,cardiac endothelial cell
1102.5401459854015,5620.861313868613,fibroblast of cardiac tissue
7587.974063400577,3626.1066282420743,cardiac muscle myoblast
7434.3879781420765,1616.120218579235,fibroblast of cardiac tissue
5818.927215189873,3919.2025316455697,cardiac muscle myoblast
7121.836734693878,4523.040816326531,fibroblast of cardiac tissue
7817.741239892183,2858.6954177897574,fibroblast of cardiac tissue
4061.2368421052633,8233.226315789474,cardiac muscle myoblast
2726.1592039800994,7008.034825870647,fibroblast of cardiac tissue
7290.570776255708,7471.251141552511,fibroblast of cardiac tissue
2864.842857142857,3364.1047619047617,cardiac endothelial cell
7968.4047619047615,7355.7904761904765,fibroblast of cardiac tissue
2469.2960893854747,7000.050279329609,cardiac endothelial cell
5810.257352941177,3105.764705882353,fibroblast of cardiac tissue
7912.551351351351,4621.524324324324,fibroblast of cardiac tissue
6067.604395604396,1374.758241758242,cardiac muscle myoblast
5385.558282208589,3284.0245398773004,cardiac muscle myoblast
4572.754385964912,4684.432748538012,fibroblast of cardiac tissue
7236.687845303867,4217.926795580111,neuronal receptor cell
3917.9862385321103,1766.8577981651376,fibroblast of cardiac tissue
3820.6199021207176,2926.9184339314843,fibroblast of cardiac tissue
7827.047846889952,4063.7033492822966,cardiac muscle myoblast
2868.817021276596,6519.370212765957,cardiac muscle myoblast
4280.645833333333,5682.277777777777,fibroblast of cardiac tissue
1759.458904109589,3587.232876712329,fibroblast of cardiac tissue
4179.4331210191085,7081.025477707007,fibroblast of cardiac tissue
1902.1807228915663,3018.5060240963853,fibroblast of cardiac tissue
2393.030303030303,8014.353535353535,cardiac muscle myoblast
